zeri,itatti,score
78380.jpg,1084581,64.0
78381.jpg,1084561,79.0
78381.jpg,1084571,49.0
78415.jpg,1024161,34.0
78416.jpg,1061051,27.0
78418.jpg,1024161,27.0
78419.jpg,1024161,28.0
78473.jpg,1023491,30.0
78475.jpg,1023491,32.0
78502.jpg,1026351,63.0
78508.jpg,1023631,26.0
78520.jpg,1023901,103.0
78521.jpg,1023901,112.0
78536.jpg,1024161,29.0
78537.jpg,1024281,55.0
78537.jpg,1024161,27.0
78538.jpg,1024281,39.0
78538.jpg,1024161,26.0
78615.jpg,1027161,70.0
78616.jpg,1027161,32.0
79167.jpg,1024171,26.0
79172.jpg,1024171,54.0
79205.jpg,1023851,77.0
79348.jpg,1084451,26.0
79348.jpg,1021051,26.0
79348.jpg,1061251,25.0
79350.jpg,1086851,26.0
79350.jpg,1040721,25.0
79388.jpg,1044191,26.0
79388.jpg,1107081,25.0
79662.jpg,1023691,33.0
79780.jpg,1078091,26.0
79781.jpg,1078091,68.0
79817.jpg,1024121,58.0
80078.jpg,1023861,42.0
80411.jpg,1113271,45.0
80413.jpg,1113271,48.0
80414.jpg,1113271,39.0
80415.jpg,1113271,39.0
80419.jpg,1086621,56.0
80419.jpg,1086631,35.0
80419.jpg,1086641,30.0
80461.jpg,1082781,37.0
80461.jpg,1082741,30.0
80461.jpg,1082721,30.0
80461.jpg,1082761,28.0
80491.jpg,1090281,25.0
80517.jpg,1089601,30.0
80524.jpg,1073541,73.0
80525.jpg,1073541,56.0
80525.jpg,1073551,40.0
80675.jpg,1037461,27.0
80681.jpg,1090691,38.0
81523.jpg,1006841,44.0
81531.jpg,1006801,53.0
81546.jpg,1006641,66.0
81547.jpg,1006641,47.0
81553.jpg,1006751,137.0
81560.jpg,1006671,75.0
81560.jpg,1006701,40.0
81561.jpg,1006671,59.0
81561.jpg,1006701,41.0
81688.jpg,1037701,64.0
81688.jpg,1037691,36.0
81689.jpg,1037701,91.0
81689.jpg,1037691,33.0
81708.jpg,1044441,37.0
81799.jpg,1020941,97.0
81813.jpg,1033621,64.0
81815.jpg,1020871,37.0
81837.jpg,1034741,107.0
81837.jpg,1038551,60.0
81843.jpg,1021011,28.0
81844.jpg,1021011,37.0
81845.jpg,1022741,87.0
81845.jpg,1022671,53.0
81845.jpg,1022731,41.0
81846.jpg,1022741,67.0
81846.jpg,1022671,41.0
81846.jpg,1022731,31.0
81847.jpg,1022741,74.0
81847.jpg,1022731,46.0
81847.jpg,1022671,45.0
81848.jpg,1022741,28.0
81858.jpg,1041021,26.0
81858.jpg,1025981,25.0
81864.jpg,1009851,40.0
81865.jpg,1009851,26.0
81893.jpg,1037651,73.0
81894.jpg,1037651,114.0
81898.jpg,1037481,79.0
81917.jpg,1020911,31.0
81919.jpg,1020911,27.0
81924.jpg,1043031,26.0
81940.jpg,1042891,85.0
81941.jpg,1042891,69.0
81942.jpg,1042891,53.0
81942.jpg,1002211,25.0
81968.jpg,1042901,57.0
81968.jpg,1042911,37.0
81968.jpg,1042921,29.0
81976.jpg,1043131,148.0
81976.jpg,1043121,87.0
81977.jpg,1043131,146.0
81977.jpg,1043121,93.0
81978.jpg,1043131,65.0
81978.jpg,1043121,45.0
81998.jpg,1018841,32.0
82001.jpg,1018761,26.0
82003.jpg,1018761,27.0
82004.jpg,1018761,32.0
82028.jpg,1018961,53.0
82031.jpg,1018961,83.0
82032.jpg,1018961,31.0
82033.jpg,1018961,26.0
82053.jpg,1023051,27.0
82055.jpg,1023051,48.0
82058.jpg,1006961,48.0
82091.jpg,1004631,71.0
82103.jpg,1004641,102.0
82128.jpg,1026131,28.0
82129.jpg,1026131,84.0
82130.jpg,1026131,70.0
82132.jpg,1002351,62.0
82132.jpg,1004621,36.0
82133.jpg,1002351,109.0
82133.jpg,1004621,52.0
82137.jpg,1087441,26.0
82164.jpg,1021181,116.0
82164.jpg,1021171,67.0
82207.jpg,1021141,114.0
82208.jpg,1021141,111.0
82209.jpg,1020971,35.0
82221.jpg,1020791,68.0
82221.jpg,1020811,61.0
82222.jpg,1020791,55.0
82222.jpg,1020811,54.0
82223.jpg,1020791,72.0
82223.jpg,1020811,69.0
82227.jpg,1010021,48.0
82228.jpg,1010021,51.0
82232.jpg,1044631,27.0
82252.jpg,1004631,25.0
82303.jpg,1098601,32.0
82307.jpg,1005381,27.0
82321.jpg,1041161,26.0
82337.jpg,1027451,38.0
82418.jpg,1035921,70.0
82418.jpg,1035931,43.0
82418.jpg,1035911,32.0
82431.jpg,1106831,27.0
82432.jpg,1090311,28.0
82462.jpg,1010071,27.0
82470.jpg,1010081,103.0
82471.jpg,1010081,60.0
82473.jpg,1009881,52.0
82475.jpg,1010081,71.0
82476.jpg,1010081,75.0
82571.jpg,1028241,90.0
82572.jpg,1028241,78.0
82573.jpg,1028241,88.0
82574.jpg,1022571,91.0
82575.jpg,1022571,97.0
82576.jpg,1022571,62.0
82598.jpg,1022571,93.0
82599.jpg,1022501,80.0
82599.jpg,1022491,70.0
82609.jpg,1022571,96.0
