zeriArtist,zeriArtwork,viafArtwork,avg,zeriLabel,viafLabel,include
https://w3id.org/zericatalog/person/8980/rubens-pieter-paul,https://w3id.org/zericatalog/artwork/16720,http://viaf.org/viaf/312392266,58," ""Rubens Pieter Paul , Leda e il cigno"" ",Piter Paul Rubens 1989,
https://w3id.org/zericatalog/person/8980/rubens-pieter-paul,https://w3id.org/zericatalog/artwork/16720,http://viaf.org/viaf/312392266,65," ""Rubens Pieter Paul , Leda e il cigno"" ",Piter Paul Rubens,
https://w3id.org/zericatalog/person/8980/rubens-pieter-paul,https://w3id.org/zericatalog/artwork/16720,http://viaf.org/viaf/312392266,58," ""Rubens Pieter Paul , Leda e il cigno"" ",Piter Paul Rubens 1985,
https://w3id.org/zericatalog/person/8980/rubens-pieter-paul,https://w3id.org/zericatalog/artwork/16720,http://viaf.org/viaf/313687274,64," ""Rubens Pieter Paul , Leda e il cigno"" ",Rubens,
https://w3id.org/zericatalog/person/8980/rubens-pieter-paul,https://w3id.org/zericatalog/artwork/16720,http://viaf.org/viaf/313997331,53," ""Rubens Pieter Paul , Leda e il cigno"" ",Peter Paul Rubens 1577-1640,
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,https://w3id.org/zericatalog/artwork/29368,http://viaf.org/viaf/313699703,61," ""Sanzio Raffaello , Ritratto del cardinale Bernardo Dovizi da Bibbiena"" ",Raffaello,
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,https://w3id.org/zericatalog/artwork/29970,http://viaf.org/viaf/313699703,65," ""Sanzio Raffaello , Trasporto di Cristo al sepolcro"" ",Raffaello,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44851,http://viaf.org/viaf/312331474,63," ""Vecellio Tiziano , Ritratto di Carlo V seduto"" ",Tiziano,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44851,http://viaf.org/viaf/312331474,60," ""Vecellio Tiziano , Ritratto di Carlo V seduto"" ",Tiziano.,
https://w3id.org/zericatalog/person/10263/vecellio-tiziano,https://w3id.org/zericatalog/artwork/44851,http://viaf.org/viaf/305152018,51," ""Vecellio Tiziano , Ritratto di Carlo V seduto"" ",Ritratto di Domenico Zono,
