search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
"Dülberg, Franz","D&#xFC;lberg, Franz, 1873-1934",http://viaf.org/viaf/62295149,http://id.loc.gov/authorities/names/n94030381,http://isni.org/isni/0000000109081095,59,86,41,62,62,
"Dumont, Albert","Dumont, Albert",http://viaf.org/viaf/36908138,,,,,,,,
"Dumont, Catherine","Dumont d'Ayot, Catherine, 1965-....",http://viaf.org/viaf/107628677,http://id.loc.gov/authorities/names/no2006078321,http://isni.org/isni/0000000077622669,65,76,73,100,"78,5",
"Dunlap, William","Dunlap, William, 1766-1839",http://viaf.org/viaf/12464592,http://id.loc.gov/authorities/names/n50029736,http://isni.org/isni/0000000080919244,73,100,74,100,"86,75",
"Duplessis, Georges Victor Antoine","Duplessis, Georges, 1834-1899",http://viaf.org/viaf/31995889,http://id.loc.gov/authorities/names/n83184877,http://isni.org/isni/0000000121265903,61,66,61,77,"66,25",
"Dupont, Jacques","Dupont, Jacques, 1915-1998",http://viaf.org/viaf/108835723,http://id.loc.gov/authorities/names/n79055212,http://isni.org/isni/0000000110322861,76,94,74,100,86,
"Duran i Sanpere, Agustí","Dura&#x301;n i Sanpere, Agusti&#x301;, 1887-1975",http://viaf.org/viaf/14795837,http://id.loc.gov/authorities/names/n84188876,http://isni.org/isni/0000000117452896,62,78,62,71,"68,25",
"Durand, Georges","Durand, Georges",http://viaf.org/viaf/31990984,,,,,,,,
"Duranty, Edmond,","Duranty, Edmond, 1833-1880",http://viaf.org/viaf/19677036,http://id.loc.gov/authorities/names/n83800448,http://isni.org/isni/0000000080982286,79,100,74,100,"88,25",
"Duret, Théodore, Count de Brie","Duret, Théodore, Count de Brie",http://viaf.org/viaf/46790804,,,0,0,0,0,0,
"Durliat, Marcel","Durliat, Marcel, 1917-2006",http://viaf.org/viaf/66466692,http://id.loc.gov/authorities/names/n82210788,http://isni.org/isni/0000000121371669,76,94,74,100,86,
"Durm, Josef","Durm, Josef, 1837-1919",http://viaf.org/viaf/72188113,http://id.loc.gov/authorities/names/n85052579,http://isni.org/isni/000000010914755X,67,100,67,100,"83,5",
"Durrieu, Paul, Comte","Durrieu, Paul, 1855-1925",http://viaf.org/viaf/69054574,http://id.loc.gov/authorities/names/no2017050399,http://isni.org/isni/0000000120963566,67,71,65,80,"70,75",
"Dussler, Luitpold","Dussler, Luitpold, 1895-1976",http://viaf.org/viaf/22599965,http://id.loc.gov/authorities/names/nr95020266,http://isni.org/isni/0000000108787889,76,100,76,100,88,
"Duthuit, Georges","Duthuit, Georges, 1891-1973",http://viaf.org/viaf/68928541,http://id.loc.gov/authorities/names/nr89006467,http://isni.org/isni/0000000121379572,77,94,75,100,"86,5",
"Duverger, Erik","Duverger, Erik, 1932-2004",http://viaf.org/viaf/36940945,http://id.loc.gov/authorities/names/n83227104,http://isni.org/isni/0000000385295751,72,100,72,100,86,
"Duverger, Jozef","Duverger, Jozef, 1899-...",http://viaf.org/viaf/533328,http://id.loc.gov/authorities/names/n88060239,http://isni.org/isni/0000000119846629,75,100,85,100,90,
"Dvořák, Max","Dvořák, Max",http://viaf.org/viaf/69052687,,,,,,,,
"Dwelshauvers, Jean Jacques",,,,,,,,,,
"Dworschak, Fritz","Dworschak, Fritz",http://viaf.org/viaf/80907734,,,,,,,,
"Eastlake, Charles Lock, Sir","Eastlake, Charles Lock, Sir, 1793-1865",http://viaf.org/viaf/61676654,http://id.loc.gov/authorities/names/n50024415,http://isni.org/isni/0000000109076851,66,95,68,94,"80,75",
"Eaton, Frederick Alexis, Sir","Eaton, Frederick Alexis, Sir",http://viaf.org/viaf/9755364,,,0,0,0,0,0,
"Eberlein, Kurt Karl","Eberlein, Kurt Karl, 1890-....",http://viaf.org/viaf/247757592,http://id.loc.gov/authorities/names/nr98025915,http://isni.org/isni/0000000385888266,78,100,88,100,"91,5",
"Eddy, Arthur Jerome","Eddy, Arthur Jerome, 1859-1920",http://viaf.org/viaf/68092990,http://id.loc.gov/authorities/names/n90678345,http://isni.org/isni/0000000082572870,78,100,78,100,89,
"Edgell, George Harold","Edgell, George Harold, 1887-1954",http://viaf.org/viaf/78133981,http://id.loc.gov/authorities/names/n2002017421,http://isni.org/isni/0000000082728302,79,100,80,100,"89,75",
"Edgerton, Samuel Y., Jr.","Edgerton, Samuel Y., Jr.",http://viaf.org/viaf/92072100,,,0,0,0,0,0,
"Egbert, Donald Drew","Egbert, Donald Drew, 1902-1973",http://viaf.org/viaf/111185240,http://id.loc.gov/authorities/names/n79122034,http://isni.org/isni/0000000080784335,78,100,78,100,89,
"Egger, Hermann","Egger, Hermann",http://viaf.org/viaf/59139054,,,,,,,,
"Eggers, Friedrich","Eggers, Friedrich, 1819-1872",http://viaf.org/viaf/17323060,http://id.loc.gov/authorities/names/no98077881,http://isni.org/isni/0000000066486665,78,94,76,100,87,
"Eggers, George W.","Eggers, George W.",http://viaf.org/viaf/50834532,,,0,0,0,0,0,
"Ehrenzweig, Anton","Ehrenzweig, Anton",http://viaf.org/viaf/69097053,,,,,,,,
"Eichler, Fritz","Eichler, Fritz",http://viaf.org/viaf/7548148269785905230006,,,,,,,,
"Eigenberger, Robert","Eigenberger, Robert",http://viaf.org/viaf/1083814,,,0,0,0,0,0,
"Einem, Herbert von","Einem, Herbert &#x98;von&#x9C; 1905-1983",http://viaf.org/viaf/56626150,http://id.loc.gov/authorities/names/n85002008,http://isni.org/isni/0000000109036534,62,83,65,100,"77,5",
"Einstein, Carl","Einstein, Carl, 1885-1940",http://viaf.org/viaf/34473997,http://id.loc.gov/authorities/names/n80104380,http://isni.org/isni/0000000121272927,75,93,72,100,85,
"Eisenmann, Oskar","Eisenmann, Oskar, 1842-1933.",http://viaf.org/viaf/42588959,http://id.loc.gov/authorities/names/nr95040200,http://isni.org/isni/0000000083769202,73,100,75,100,87,
"Eisler, Colin T.","Eisler, Colin T.",http://viaf.org/viaf/110816892,http://id.loc.gov/authorities/names/n80023144,http://isni.org/isni/0000000110327099,100,100,100,100,100,
"Eisner, Lotte H.","Eisner, Lotte H.",http://viaf.org/viaf/54147270,http://id.loc.gov/authorities/names/n50031733,http://isni.org/isni/0000000121333750,100,100,100,100,100,
"Eitelberger von Edelberg, Rudolf","Eitelberger von Edelberg, Rudolf, 1817-1885",http://viaf.org/viaf/25353786,http://id.loc.gov/authorities/names/no2011085238,http://isni.org/isni/0000000120226435,85,100,86,100,"92,75",
"Eitner, Lorenz","Eitner, Lorenz.",http://viaf.org/viaf/103645946,http://id.loc.gov/authorities/names/n83214405,http://isni.org/isni/0000000119537463,97,100,100,100,"99,25",
"Elbern, Victor","Elbern, Victor H.",http://viaf.org/viaf/120608207,http://id.loc.gov/authorities/names/n80138896,http://isni.org/isni/0000000109396812,94,100,93,100,"96,75",
"Elderkin, George","Elderkin, G.W. (George Wicker), 1879-1965",http://viaf.org/viaf/32368902,http://id.loc.gov/authorities/names/n85813190,http://isni.org/isni/0000000061278381,56,69,59,100,71,
"Elsen, Albert E.","Elsen, Albert Edward, 1927-1995",http://viaf.org/viaf/46777192,http://id.loc.gov/authorities/names/n50008816,http://isni.org/isni/0000000110260832,64,94,65,92,"78,75",
"Emmens, J. A.","Emmens, Jan (Jan Ameling), 1924-1971",http://viaf.org/viaf/7472958,http://id.loc.gov/authorities/names/n87902970,http://isni.org/isni/0000000080865258,45,77,48,75,"61,25",
"Engelmann, Wilhelm",,,,,,,,,,
"Engerand, Fernand","Engerand, Fernand",http://viaf.org/viaf/37041770,,,,,,,,
"Enggass, Robert","Enggass, Robert, 1921-....",http://viaf.org/viaf/96576447,http://id.loc.gov/authorities/names/n92085048,http://isni.org/isni/0000000081685881,73,100,85,100,"89,5",
"Englander, Nancy",,,,,0,0,0,0,0,
"Enlart, Camille","Enlart, Camille, 1862-1927",http://viaf.org/viaf/24694103,http://id.loc.gov/authorities/names/nr88006310,http://isni.org/isni/0000000113022856,76,94,74,100,86,
"Ephrussi, Charles","Ephrussi, Charles",http://viaf.org/viaf/10112599,,,,,,,,
"Erdmann, Kurt","Erdmann, Kurt",http://viaf.org/viaf/24743441,,,,,,,,
"Erlach, Johann Bernhard Fischer von","Fischer von Erlach, Johann Bernhard, 1656-1723",http://viaf.org/viaf/100183205,http://id.loc.gov/authorities/names/n50003095,http://isni.org/isni/0000000083461566,59,70,87,100,79,
"Erlande-Brandenburg, Alain","Erlande-Brandenburg, Alain",http://viaf.org/viaf/68928663,,,,,,,,
"Ertz, Klaus","Ertz, Klaus",http://viaf.org/viaf/14789756,,,,,,,,
"Esdaile, Katharine Ada","Esdaile, Katharine Ada, 1881-1950",http://viaf.org/viaf/46699518,http://id.loc.gov/authorities/names/nr2002028125,http://isni.org/isni/0000000053232498,80,100,81,100,"90,25",
"Estlander, Carl Gustaf",,,,,,,,,,
"Ettinghausen, Richard","Ettinghausen, Richard, 1906-1979",http://viaf.org/viaf/59145016,http://id.loc.gov/authorities/names/n79056000,http://isni.org/isni/0000000120962125,79,100,80,100,"89,75",
"Ettlinger, Leopold D.","Ettlinger, Leopold D. (Leopold David), 1913-",http://viaf.org/viaf/109392127,http://id.loc.gov/authorities/names/n85152709,http://isni.org/isni/000000010933104X,65,100,67,100,83,
"Evans, Arthur J., Sir","Evans, Arthur J., Sir",http://viaf.org/viaf/14778694,,,0,0,0,0,0,
"Evans, Joan, Dame","Evans, Joan, Dame",http://viaf.org/viaf/91409570,,,0,0,0,0,0,
"Evelyn, John","Evelyn, John",http://viaf.org/viaf/61653698,,,,,,,,
"Evers, Hans Gerhard","Evers, Hans Gerhard, 1900-1993",http://viaf.org/viaf/8187067,http://id.loc.gov/authorities/names/n85349992,http://isni.org/isni/0000000110374282,78,100,78,100,89,
"Eydoux, Henry Paul","Eydoux, Henry Paul",http://viaf.org/viaf/166152637798220220000,,,0,0,0,0,0,
"Éméric-David, T.-B.","&#xC9;m&#xE9;ric-David, Toussaint-Bernard 1755-1839",http://viaf.org/viaf/90633109,http://id.loc.gov/authorities/names/no92024992,http://isni.org/isni/0000000121432409,42,62,46,67,"54,25",
"Fabbrini, Narciso","Fabbrini, Narciso",http://viaf.org/viaf/73747068,,,0,0,0,0,0,
"Facio, Bartolomeo","Facio, Bartolomeo, 1400?-1457",http://viaf.org/viaf/44430547,http://id.loc.gov/authorities/names/n79043870,http://isni.org/isni/0000000081231126,74,100,76,100,"87,5",
"Fagg, William Buller","Fagg, William Buller, 1914-1992",http://viaf.org/viaf/305132783,http://id.loc.gov/authorities/names/n50012047,http://isni.org/isni/0000000083430532,78,100,79,100,"89,25",
"Fagiolo Dell'Arco, Maurizio","Fagiolo dell'Arco, Maurizio, 1939-2002",http://viaf.org/viaf/7385373,http://id.loc.gov/authorities/names/n78081053,http://isni.org/isni/0000000121191967,80,96,84,100,90,
"Fahy, Everett, Jr.","Fahy, Everett, Jr.",http://viaf.org/viaf/59101125,,,0,0,0,0,0,
"Faille, J.-B. de la","La Faille, J.-B. de (Jacob Baart), 1884-1959",http://viaf.org/viaf/88057264,http://id.loc.gov/authorities/names/n88627935,http://isni.org/isni/000000011451190X,57,89,59,100,"76,25",
"Fairbanks, Arthur","Fairbanks, Arthur",http://viaf.org/viaf/5010439,,,,,,,,
"Faison, S. Lane, Jr.","Faison, S. Lane, Jr.",http://viaf.org/viaf/114683799,,,,,,,,
"Falke, Jakob, Ritter von","Falke, Jakob, Ritter von",http://viaf.org/viaf/32360456,,,,,,,,
"Falke, Otto","Falke, Otto",http://viaf.org/viaf/76487325,,,,,,,,
"Farcy-Raynaud, Marc",,,,,0,0,0,0,0,
"Faré, Michel","Far&#xE9;, Michel, 1913-1985",http://viaf.org/viaf/215452156,http://id.loc.gov/authorities/names/no2008155913,http://isni.org/isni/0000000398212089,55,67,59,100,"70,25",
"Faries, Molly","Faries, Molly 1940-....",http://viaf.org/viaf/61681349,http://id.loc.gov/authorities/names/no90014308,http://isni.org/isni/000000011445882X,72,100,83,100,"88,75",
"Faure, Élie","Faure, &#xC9;lie, 1873-1937",http://viaf.org/viaf/49225294,http://id.loc.gov/authorities/names/n83029108,http://isni.org/isni/0000000122796511,56,58,56,100,"67,5",
"Fèa, Carlo","Fèa, Carlo",http://viaf.org/viaf/42054242,,,,,,,,
"Fechheimer, Hedwig","Fechheimer, Hedwig.",http://viaf.org/viaf/91325857,http://id.loc.gov/authorities/names/no2009119397,http://isni.org/isni/000000011774598X,95,95,100,100,"97,5",
"Fechheimer, Samuel Sigismund","Fechheimer, Samuel Sigismund",http://viaf.org/viaf/201807744,,,0,0,0,0,0,
"Fechter, Paul Otto Heinrich","Fechter, Paul, 1880-1958.",http://viaf.org/viaf/35247951,http://id.loc.gov/authorities/names/n84077643,http://isni.org/isni/0000000110247769,54,56,50,71,"57,75",
"Fehl, Philipp P.","Fehl, Philipp P.",http://viaf.org/viaf/112458836,,,,,,,,
"Félibien, André","F&#xE9;libien, Andr&#xE9;, 1619-1695",http://viaf.org/viaf/61545569,http://id.loc.gov/authorities/names/n82101615,http://isni.org/isni/0000000121355570,51,80,56,62,"62,25",
"Félibien, Jean-François","Félibien Des Avaux, Jean-François",http://viaf.org/viaf/100849123,,,,,,,,
"Félibien, Michel","F&#xE9;libien, Michel, 1665-1719",http://viaf.org/viaf/68972042,http://id.loc.gov/authorities/names/no2002064523,http://isni.org/isni/0000000121380792,65,88,65,65,"70,75",
"Fenaille, Maurice","Fenaille, Maurice, 1855-1937",http://viaf.org/viaf/64115920,http://id.loc.gov/authorities/names/no2001067638,http://isni.org/isni/0000000047232678,78,94,76,100,87,
"Fenollosa, Ernest Francisco","Fenollosa, Ernest Francisco",http://viaf.org/viaf/61675892,,,,,,,,
"Ferguson, John Calvin","Ferguson, John C. (John Calvin), 1866-1945",http://viaf.org/viaf/11089868,http://id.loc.gov/authorities/names/n50026875,http://isni.org/isni/0000000080907040,67,76,70,100,"78,25",
"Fergusson, James","Fergusson, James, 1808-1886",http://viaf.org/viaf/2541089,http://id.loc.gov/authorities/names/n50026890,http://isni.org/isni/0000000121179888,74,100,75,100,"87,25",
"Fergusson, Peter J.","Fergusson, Peter, 1934-....",http://viaf.org/viaf/109243929,http://id.loc.gov/authorities/names/n83177140,http://isni.org/isni/0000000109328000,78,89,81,94,"85,5",
"Fernandez, Dominique","Fernandez, Dominique",http://viaf.org/viaf/61545621,,,,,,,,
"Fernández, Justino","Fern&#xE1;ndez, Justino, 1904-1972",http://viaf.org/viaf/118531453,http://id.loc.gov/authorities/names/n82124103,http://isni.org/isni/0000000110333536,65,72,51,68,64,
"Fernow, Carl","Fernow, Carl Ludwig, 1763-1808.",http://viaf.org/viaf/2646071,http://id.loc.gov/authorities/names/nr99012833,http://isni.org/isni/0000000108546962,56,100,56,100,78,
"Ferree, Barr","Ferree, Barr, 1862-1924",http://viaf.org/viaf/20050689,http://id.loc.gov/authorities/names/nr93031931,http://isni.org/isni/0000000080995167,69,100,69,100,"84,5",
"Feulner, Adolf","Feulner, Adolf, 1884-1945",http://viaf.org/viaf/64068082,http://id.loc.gov/authorities/names/n81146729,http://isni.org/isni/0000000109089038,72,100,72,100,86,
"Ffoulkes, Constance Jocelyn","Ffoulkes, Constance Jocelyn",http://viaf.org/viaf/2378655,http://id.loc.gov/authorities/names/nr98001773,http://isni.org/isni/0000000054368813,100,100,100,100,100,
"Fiechter, Ernst Robert","Fiechter, Ernst Robert",http://viaf.org/viaf/59878328,,,,,,,,
"Fiedler, Konrad","Fiedler, Conrad, 1841-1895",http://viaf.org/viaf/89818448,http://id.loc.gov/authorities/names/n85049050,http://isni.org/isni/0000000108031029,68,93,37,68,"66,5",
"Fierens Gevaert, Hippolyte","Fierens-Gevaert, Hippolyte, 1870-1926",http://viaf.org/viaf/73959821,http://id.loc.gov/authorities/names/no96024276,http://isni.org/isni/0000000109158005,79,96,83,100,"89,5",
"Fierens, Paul","Fierens, Paul",http://viaf.org/viaf/29605394,,,,,,,,
"Figueiredo, José de","Figueiredo, José de",http://viaf.org/viaf/75509041,,,,,,,,
Filarete,"Filaret, Metropolitan of Moscow, 1782-1867",http://viaf.org/viaf/292374483,http://id.loc.gov/authorities/names/n80050977,http://isni.org/isni/0000000356387788,32,88,33,33,"46,5",
"Fillitz, Hermann","Fillitz, Hermann, 1924-",http://viaf.org/viaf/109172382,http://id.loc.gov/authorities/names/n85152708,http://isni.org/isni/000000011032375X,82,100,86,100,92,
"Finlay, Ian","Finlay, Ian Hamilton, 1925-2006",http://viaf.org/viaf/44322259,http://id.loc.gov/authorities/names/n80045844,http://isni.org/isni/0000000108927829,52,100,51,100,"75,75",
"Finley, David","Finley, David Edward",http://viaf.org/viaf/5059806,http://id.loc.gov/authorities/names/n81144220,http://isni.org/isni/0000000022158192,79,100,77,100,89,
"Fiocco, Giuseppe","Fiocco, Giuseppe, 1884-1971",http://viaf.org/viaf/29839498,http://id.loc.gov/authorities/names/n79040003,http://isni.org/isni/0000000108840432,74,100,75,100,"87,25",
"Fiorillo, Johann Dominico","Fiorillo, Johann Dominik",http://viaf.org/viaf/29805406,,,0,0,0,0,0,
"Fischel, Oskar","Fischel, Oskar, 1870-1939",http://viaf.org/viaf/120697101,http://id.loc.gov/authorities/names/n85262311,http://isni.org/isni/000000010939717X,72,100,72,100,86,
"Fischer von Erlach, Johann Bernhard","Fischer von Erlach, Johann Bernhard, 1656-1723",http://viaf.org/viaf/100183205,http://id.loc.gov/authorities/names/n50003095,http://isni.org/isni/0000000083461566,86,100,87,100,"93,25",
"Fitchen, John, III","Fitchen, John",http://viaf.org/viaf/76946656,,,0,0,0,0,0,
"Flechsig, Eduard","Flechsig, Eduard",http://viaf.org/viaf/42593122,,,,,,,,
"Fleischer, Inge","Fleischer, Inge",http://viaf.org/viaf/250057673,,,,,,,,
"Fleming, John","Fleming, John",http://viaf.org/viaf/98341426,,,,,,,,
"Fletcher, Banister, Sir","Fletcher, Banister, Sir, 1866-1953.",http://viaf.org/viaf/100185901,http://id.loc.gov/authorities/names/n86109795,http://isni.org/isni/0000000121451175,79,100,81,100,90,
"Flexner, James Thomas","Flexner, James Thomas, 1908-2003",http://viaf.org/viaf/108997468,http://id.loc.gov/authorities/names/n79065342,http://isni.org/isni/0000000114548788,81,95,80,100,89,
"Floerke, Hanns","Floerke, Hanns",http://viaf.org/viaf/44394436,,,,,,,,
"Focillon, Henri","Focillon, Henri, 1881-1943",http://viaf.org/viaf/2470261,http://id.loc.gov/authorities/names/n82072902,http://isni.org/isni/0000000121178164,76,94,74,100,86,
"Foerster, Lotte Brand","Philip, Lotte Brand",http://viaf.org/viaf/50210048,,,,,,,,
"Forbes, Edward Waldo","Forbes, Edward Waldo, 1873-1969",http://viaf.org/viaf/15055987,http://id.loc.gov/authorities/names/no2009197892,http://isni.org/isni/0000000080764414,81,95,79,100,"88,75",
"Force, Juliana R.","Force, Juliana, 1876-1948",http://viaf.org/viaf/72193679,http://id.loc.gov/authorities/names/n88286814,http://isni.org/isni/0000000029788605,71,88,68,93,80,
"Ford, Brinsley, Sir","Ford, Brinsley",http://viaf.org/viaf/2036924,,,0,0,0,0,0,
"Forsdyke, John, Sir","Forsdyke, John",http://viaf.org/viaf/268372935,,,0,0,0,0,0,
"Forssman, Erik","Forssman, Erik, 1915-2011",http://viaf.org/viaf/73929802,http://id.loc.gov/authorities/names/n80040377,http://isni.org/isni/0000000109156237,72,100,72,100,86,
"Förster, Ernst","Förster, Ernst",http://viaf.org/viaf/49399287,,,,,,,,
"Forster, Georg","Forster, Georg, 1754-1794.",http://viaf.org/viaf/59389169,http://id.loc.gov/authorities/names/n50026037,http://isni.org/isni/000000012096223X,70,100,72,100,"85,5",
"Förster, Otto H.","F&#xF6;rster, Otto H. (Otto Helmut), 1894-",http://viaf.org/viaf/47072336,http://id.loc.gov/authorities/names/no94030290,http://isni.org/isni/000000010896614X,52,88,29,63,58,
"Forsyth, George H., Jr.","Forsyth, George Howard, Jr., 1902-1991",http://viaf.org/viaf/32555252,http://id.loc.gov/authorities/names/n84804789,http://isni.org/isni/0000000061278592,72,78,72,94,79,
"Forsyth, Ilene E.","Forsyth, Ilene H.",http://viaf.org/viaf/111610372,,,0,0,0,0,0,
"Forsyth, William","Forsyth, William",http://viaf.org/viaf/51255422,,,,,,,,
"Fortum, C. Drury","Fortnum, Charles Drury Edward",http://viaf.org/viaf/13087034,,,,,,,,
"Fox, Milton S","Fox, Milton S., 1904-1971",http://viaf.org/viaf/72636071,http://id.loc.gov/authorities/names/n50025893,http://isni.org/isni/0000000110704819,68,100,71,100,"84,75",
"Fraenger, Wilhelm","Fraenger, Wilhelm, 1890-1964.",http://viaf.org/viaf/7405826,http://id.loc.gov/authorities/names/n85126883,http://isni.org/isni/0000000110205745,74,100,76,100,"87,5",
"Franc, Helen M.","Franc, Helen Margaret, 1908-....",http://viaf.org/viaf/77981198,http://id.loc.gov/authorities/names/n92110164,http://isni.org/isni/0000000109183534,64,93,68,92,"79,25",
"França, José Augusto","Fran&#xE7;a, Jos&#xE9;-Augusto, 1922-",http://viaf.org/viaf/64005855,http://id.loc.gov/authorities/names/n79040087,http://isni.org/isni/0000000121018603,60,65,67,79,"67,75",
"Francastel, Pierre","Francastel, Pierre, 1900-1970.",http://viaf.org/viaf/22141794,http://id.loc.gov/authorities/names/n50025374,http://isni.org/isni/0000000118842079,75,100,77,100,88,
"Franck-Oberaspach, Karl","Franck-Oberaspach, Karl, 1872-",http://viaf.org/viaf/32581139,http://id.loc.gov/authorities/names/n84208773,http://isni.org/isni/0000000024688656,89,96,90,100,"93,75",
"Francke, Kuno","Francke, Kuno",http://viaf.org/viaf/52448289,,,,,,,,
"François, Alessandro","Franc&#x327;ois, Alessandro, 1796-1857",http://viaf.org/viaf/16296987,http://id.loc.gov/authorities/names/n87898555,http://isni.org/isni/0000000030429175,66,75,68,71,70,
"Francovich, Géza de","De Francovich, Ge&#x301;za",http://viaf.org/viaf/27059143,http://id.loc.gov/authorities/names/nr88001423,http://isni.org/isni/0000000079722508,67,74,83,87,"77,75",
"Frankfort, Henri","Frankfort, Henri, 1897-1954.",http://viaf.org/viaf/4992441,http://id.loc.gov/authorities/names/n50025732,http://isni.org/isni/0000000108647560,73,100,75,100,87,
"Frankfurter, Alfred M.","Frankfurter, Alfred M.",http://viaf.org/viaf/48133972,,,,,,,,
"Frankl, Paul","Frankl, Paul, 1878-1962",http://viaf.org/viaf/17268292,http://id.loc.gov/authorities/names/n88111777,http://isni.org/isni/0000000108747246,69,100,69,100,"84,5",
"Franks, Wollaston, Sir","Franks, Augustus Wollaston, 1826-1897",http://viaf.org/viaf/14779956,http://id.loc.gov/authorities/names/n83184888,http://isni.org/isni/0000000080934698,64,59,58,89,"67,5",
"Franz, Heinrich Gerhard","Franz, Heinrich Gerhard",http://viaf.org/viaf/49241938,,,,,,,,
"Fraschetti, Stanislao","Fraschetti, Stanislao, 1875-1902",http://viaf.org/viaf/46352038,http://id.loc.gov/authorities/names/no96008157,http://isni.org/isni/0000000061477807,79,100,80,100,"89,75",
"Fredericksen, Burton","Fredericksen, Burton B., 1934-....",http://viaf.org/viaf/34547817,http://id.loc.gov/authorities/names/n79053697,http://isni.org/isni/0000000108867096,74,100,84,100,"89,5",
"Fredericq-Lilar, Marie","Fredericq-Lilar, Marie",http://viaf.org/viaf/7515333,,,0,0,0,0,0,
"Freedberg, Sydney Joseph","Freedberg, Sydney Joseph, 1914-1997",http://viaf.org/viaf/76378542,http://id.loc.gov/authorities/names/n50025683,http://isni.org/isni/0000000109173184,81,100,82,100,"90,75",
"Freeman, Margaret B.","Freeman, Margaret B.",http://viaf.org/viaf/89672627,http://id.loc.gov/authorities/names/n84007747,http://isni.org/isni/0000000066354611,100,100,100,100,100,
"Freemantle, Katharina",,,,,0,0,0,0,0,
"Frel, Jiří K.","Frel, Jiří",http://viaf.org/viaf/93782321,,,0,0,0,0,0,
"Fremersdorf, Fritz","Fremersdorf, Fritz, 1894-1983",http://viaf.org/viaf/172028916,http://id.loc.gov/authorities/names/nr89001616,http://isni.org/isni/0000000120914035,77,100,77,100,"88,5",
"Freund, Karl","Freund, Karl, 1890-1969",http://viaf.org/viaf/17429170,http://id.loc.gov/authorities/names/n85067132,http://isni.org/isni/0000000115611961,69,100,69,100,"84,5",
"Frey, Dagobert","Frey, Dagobert",http://viaf.org/viaf/27865732,,,,,,,,
"Frey, Karl","Frey, Karl",http://viaf.org/viaf/122062988,,,,,,,,
"Frickenhaus, August","Frickenhaus, August",http://viaf.org/viaf/45062961,,,,,,,,
"Fried, Michael","Fried, Michael, 1939-....",http://viaf.org/viaf/46761268,http://id.loc.gov/authorities/names/n79089516,http://isni.org/isni/0000000108954878,72,100,84,100,89,
"Friedländer, Max J.","Friedl&#xE4;nder, Max J., 1867-1958.",http://viaf.org/viaf/56620139,http://id.loc.gov/authorities/names/n82143205,http://isni.org/isni/0000000110272593,65,68,51,68,63,
"Friedländer, Walter F.","Friedlaender, Walter, 1873-1966",http://viaf.org/viaf/51729420,http://id.loc.gov/authorities/names/n50024043,http://isni.org/isni/0000000118622762,72,86,75,75,77,
"Friedrichs, Karl","Friedrichs, Karl August, 1936-",http://viaf.org/viaf/76829333,http://id.loc.gov/authorities/names/no2003033094,http://isni.org/isni/0000000047633930,70,100,71,100,"85,25",
"Friend, Albert M., Jr.","Friend, Albert M., Jr.",http://viaf.org/viaf/305037761,,,,,,,,
"Fries, Willy","Fries, Willy",http://viaf.org/viaf/157858973,,,,,,,,
"Frimmel, Theodor von","Frimmel, Theodor &#x98;von&#x9C; 1853-1928",http://viaf.org/viaf/46890810,http://id.loc.gov/authorities/names/n87916381,http://isni.org/isni/000000010896251X,65,85,68,100,"79,5",
"Frizzoni, Gustavo","Frizzoni, Gustavo, 1840-1919",http://viaf.org/viaf/66594007,http://id.loc.gov/authorities/names/no2009093194,http://isni.org/isni/0000000061294314,76,100,76,100,88,
"Frodl, Walter","Frodl, Walter, 1908-1994",http://viaf.org/viaf/42629291,http://id.loc.gov/authorities/names/n82223271,http://isni.org/isni/000000037414363X,70,100,71,100,"85,25",
"Frohlich-Bume, Lili","Fr&#xF6;hlich-Bum, L.",http://viaf.org/viaf/27390113,http://id.loc.gov/authorities/names/n95016938,http://isni.org/isni/0000000081065674,70,74,72,72,72,
"Fromentin, Eugène","Froment&#xED;n, Eug&#xE9;ne, 1820-1876",http://viaf.org/viaf/68929304,http://id.loc.gov/authorities/names/n50041610,http://isni.org/isni/0000000109117772,55,65,49,49,"54,5",
"Frothingham, Arthur Lincoln, Jr.","Frothingham, Arthur Lincoln, 1859-1923",http://viaf.org/viaf/248728754,http://id.loc.gov/authorities/names/n86849173,http://isni.org/isni/0000000369749995,83,91,80,95,"87,25",
"Fry, Roger","Fry, Roger Eliot, 1866-1934",http://viaf.org/viaf/41884144,http://id.loc.gov/authorities/names/n79072847,http://isni.org/isni/0000000121297593,54,100,53,100,"76,75",
"Fuchs, Eduard","Fuchs, Eduard",http://viaf.org/viaf/14794290,,,,,,,,
"Fuchs, Günter","Fuchs, Günter",http://viaf.org/viaf/24784922,,,,,,,,
"Fülep, Lajos","F&#xFC;lep, Lajos (1885-1970).",http://viaf.org/viaf/15572107,http://id.loc.gov/authorities/names/n84219753,http://isni.org/isni/0000000108731754,52,83,40,67,"60,5",
"Furlong, George Joseph",,,,,,,,,,
"Fürst, Viktor","Fürst, Viktor",http://viaf.org/viaf/93893477,,,,,,,,
"Furtwängler, Adolf","Furtwängler, Adolf",http://viaf.org/viaf/27192862,,,,,,,,
"Furumark, Arne","Furumark, Arne, 1903-1982",http://viaf.org/viaf/24818996,http://id.loc.gov/authorities/names/nr93026682,http://isni.org/isni/000000005273906X,72,100,72,100,86,
"Fuseli, Henry","Füssli, Johann Heinrich",http://viaf.org/viaf/53061,,,,,,,,
