search,result,viaf,lc,isni,ratio,partialRatio,tokenSort,tokenSet,avg,
Clementina Caroline Anstruther-Thomson,Clementina Caroline Anstruther-Thomson,http://viaf.org/viaf/36724411,,,0,0,0,0,0,
"Antal, Frederick","Antal, Frederick",http://viaf.org/viaf/3340011,,,,,,,,
"Apostool, Cornelis","Apostool, Cornelis, 1762-1844",http://viaf.org/viaf/71312739,http://id.loc.gov/authorities/names/nr99022090,http://isni.org/isni/0000000067084836,77,100,77,100,"88,5",
"Arasse, Daniel","Arasse, Daniel, 1944-2003",http://viaf.org/viaf/108991584,http://id.loc.gov/authorities/names/n82230750,http://isni.org/isni/0000000121472064,72,100,72,100,86,
"Arcangeli, Francesco","Arcangeli, Francesco",http://viaf.org/viaf/4977457,,,,,,,,
"Arcisse de Caumont, Comte","Arcisse de Caumont, Comte",http://viaf.org/viaf/64003160,,,0,0,0,0,0,
"Aretino, Pietro","Aretino, Pietro, 1492-1556.",http://viaf.org/viaf/66609417,http://id.loc.gov/authorities/names/n79089193,http://isni.org/isni/0000000121020148,71,100,74,100,"86,25",
"Argan, Giulio Carlo","Argan, Giulio Carlo, 1909-1992",http://viaf.org/viaf/56605075,http://id.loc.gov/authorities/names/n79034934,http://isni.org/isni/0000000109034838,78,100,78,100,89,
"Arias, P. E.","Arias, Paolo Enrico, 1907-1998",http://viaf.org/viaf/208348894,http://id.loc.gov/authorities/names/n82212377,http://isni.org/isni/0000000385358855,48,67,49,71,"58,75",
"Armi, C. Edson","Armi, C. Edson, 1946-....",http://viaf.org/viaf/56733486,http://id.loc.gov/authorities/names/n83035583,http://isni.org/isni/0000000109751773,72,100,83,100,"88,75",
"Armstrong, Sir Walter","Armstrong, Walter, Sir, 1850-1918",http://viaf.org/viaf/57635262,http://id.loc.gov/authorities/names/n85050011,http://isni.org/isni/0000000110274898,63,81,80,100,81,
"Arnason, H. H.","Arnason, H. Harvard, 1909-1986.",http://viaf.org/viaf/79158924,http://id.loc.gov/authorities/names/n50001535,http://isni.org/isni/0000000116782682,62,93,58,100,"78,25",
"Arndt, Paul","Arndt, Paul",http://viaf.org/viaf/62297934,,,,,,,,
"Arnheim, Rudolf","Arnheim, Rudolf, 1904-2007",http://viaf.org/viaf/100176509,http://id.loc.gov/authorities/names/n79071254,http://isni.org/isni/0000000118163404,73,100,74,100,"86,75",
"Ashby, Thomas","Ashby, Thomas, 1874-1931",http://viaf.org/viaf/27195339,http://id.loc.gov/authorities/names/n87900642,http://isni.org/isni/0000000108821557,72,93,71,100,84,
"Ashmole, Bernard","Ashmole, Bernard, 1894-1988",http://viaf.org/viaf/112588309,http://id.loc.gov/authorities/names/n50001977,http://isni.org/isni/0000000109366293,77,94,75,100,"86,5",
"Ashton, Dore","Ashton, Dore",http://viaf.org/viaf/85360390,http://id.loc.gov/authorities/names/n79054747,http://isni.org/isni/0000000374431092,100,100,100,100,100,
"Ashton, Leigh, Sir","Ashton, Leigh, 1897-1983",http://viaf.org/viaf/97634094,http://id.loc.gov/authorities/names/n89215262,http://isni.org/isni/0000000108594761,71,83,63,86,"75,75",
"Askew, Pamela","Askew, Pamela",http://viaf.org/viaf/34511477,http://id.loc.gov/authorities/names/n85094399,http://isni.org/isni/0000000108864792,100,100,100,100,100,
"Aubert, Marcel","Aubert, Marcel, 1884-1962",http://viaf.org/viaf/32029076,http://id.loc.gov/authorities/names/n84098905,http://isni.org/isni/0000000110237149,75,93,72,100,85,
"Aubry, John",,,,,,,,,,
"Auerbach, Erna","Auerbach, Erna",http://viaf.org/viaf/211376528,http://id.loc.gov/authorities/names/no2003042683,http://isni.org/isni/0000000063089453,100,100,100,100,100,
"Auerbach, Ingeborg Any",,,,,0,0,0,0,0,
"Aurenhammer, Hans","Aurenhammer, Hans",http://viaf.org/viaf/22497172,http://id.loc.gov/authorities/names/nr88000006,http://isni.org/isni/0000000108559149,100,100,100,100,100,
"Austin, A. Everett, Jr.","Austin, A. Everett, Jr.",http://viaf.org/viaf/42732779,,,0,0,0,0,0,
"Avery, Charles","Avery, Charles.",http://viaf.org/viaf/121705564,http://id.loc.gov/authorities/names/no2016065699,http://isni.org/isni/0000000083488654,97,100,100,100,"99,25",
"Avery, Myrtilla","Avery, Myrtilla",http://viaf.org/viaf/88712569,,,0,0,0,0,0,
"Azcárate, José María de","Azc&#xE1;rate Ristori, Jos&#xE9; Mar&#xED;a de, 1919-2001",http://viaf.org/viaf/80967491,http://id.loc.gov/authorities/names/n80089326,http://isni.org/isni/0000000110301980,50,48,43,48,"47,25",
"Babelon, Ernest C. F.","Babelon, Ernest C. F.",http://viaf.org/viaf/74638710,,,0,0,0,0,0,
"Babelon, Jean","Babelon, Jean",http://viaf.org/viaf/95298764,,,,,,,,
"Bachelin, Auguste","Bachelin, Auguste",http://viaf.org/viaf/44336209,,,,,,,,
"Bachhofer, Ludwig","Bachhofer, Ludwig, 1894-",http://viaf.org/viaf/68064705,http://id.loc.gov/authorities/names/n89250705,http://isni.org/isni/0000000110287605,83,100,86,100,"92,25",
"Bachofen, Johann Jacob","Bachofen, Johann Jakob, 1815-1887",http://viaf.org/viaf/64001159,http://id.loc.gov/authorities/names/n50019400,http://isni.org/isni/0000000081428375,76,95,77,83,"82,75",
"Backes, Catherine",,,,,,,,,,
"Badt, Kurt","Badt, Kurt, 1890-1973",http://viaf.org/viaf/57405839,http://id.loc.gov/authorities/names/n86844532,http://isni.org/isni/0000000109048738,65,100,64,100,"82,25",
"Baglione, Giovanni","Baglione, Giovanni, 1571?-1644",http://viaf.org/viaf/95297851,http://id.loc.gov/authorities/names/nr90026210,http://isni.org/isni/0000000116901477,76,95,77,100,87,
"Baigell, Matthew Eli","Baigell, Matthew",http://viaf.org/viaf/64133154,http://id.loc.gov/authorities/names/n79058780,http://isni.org/isni/0000000109799507,89,100,88,100,"94,25",
"Baker, C. H. Collins","Baker, C. H. Collins (Charles Henry Collins), 1880-1959",http://viaf.org/viaf/32172280,http://id.loc.gov/authorities/names/n84017515,http://isni.org/isni/0000000120234208,53,100,52,100,"76,25",
