name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
Asta Pitti,Palazzo Pitti,http://viaf.org/viaf/133032211,http://id.loc.gov/authorities/names/n79063216,,http://catalogue.bnf.fr/ark:/12148/cb12128627n,,http://www.wikidata.org/entity/Q29286,https://ar.wikipedia.org/wiki/\u0642\u0635\u0631_\u0628\u064a\u062a\u064a
Asta Rambaldi,Galleria di Antichità e Casa di Vendite A. Rambaldi (Bologna),http://viaf.org/viaf/122986420,,,,http://d-nb.info/gnd/10129283-1,,
Asta Sambon,Galerie Sambon Paris,http://viaf.org/viaf/135747688,,http://isni.org/isni/0000000092558335,http://catalogue.bnf.fr/ark:/12148/cb12138185n,http://d-nb.info/gnd/10100369-9,,
Asta Sangiorgi,"Galleria Sangiorgi, casa di vendite (Roma)",http://viaf.org/viaf/260816466,,,,,,
Asta Sedelmeyer,Galerie Sedelmeyer,http://viaf.org/viaf/150195010,http://id.loc.gov/authorities/names/n87916380,http://isni.org/isni/0000000121839401,,http://d-nb.info/gnd/10000078-2,,
Asta Semenzato,"Finarte Semenzato, Casa d'Aste",http://viaf.org/viaf/250406874,,,http://catalogue.bnf.fr/ark:/12148/cb16762472w,http://d-nb.info/gnd/10051426-1,,
Asta Silvestri,Asta Silvestri,,,,,,,
Asta Sotheby's,Sotheby's,http://viaf.org/viaf/126386983,http://id.loc.gov/authorities/names/n84160976,http://isni.org/isni/0000000121087078,http://catalogue.bnf.fr/ark:/12148/cb120449310,http://d-nb.info/gnd/5016307-3,,
Asta Tavazzi,Jandolo & Tavazzi (casa d'aste : Roma),http://viaf.org/viaf/147378305,,,,http://d-nb.info/gnd/5097090-2,,
Asta Étude Tajan,"Ader, Picard, Tajan",http://viaf.org/viaf/159484908,http://id.loc.gov/authorities/names/n83139015,http://isni.org/isni/0000000121959040,http://catalogue.bnf.fr/ark:/12148/cb12237809d,http://d-nb.info/gnd/1085897125,,
B. Berenson,"Berenson, Bernard, 1865-1959.",http://viaf.org/viaf/9878607,http://id.loc.gov/authorities/names/n79021690,http://isni.org/isni/0000000120990222,http://catalogue.bnf.fr/ark:/12148/cb121114721,http://d-nb.info/gnd/118658344,http://www.wikidata.org/entity/Q359047,https://ar.wikipedia.org/wiki/\u0628\u0631\u0646\u0627\u0631_\u0628\u0631\u0646\u0633\u0646
B. Degenhart,"Degenhart, Bernhard",http://viaf.org/viaf/34468505,http://id.loc.gov/authorities/names/n81013602,http://isni.org/isni/0000000114704955,http://catalogue.bnf.fr/ark:/12148/cb12017849w,http://d-nb.info/gnd/121851591,http://www.wikidata.org/entity/Q15455396,https://de.wikipedia.org/wiki/Bernhard_Degenhart
B. Suida Manning,"Suida Manning, Bertina",http://viaf.org/viaf/3769310,http://id.loc.gov/authorities/names/n80045997,http://isni.org/isni/0000000085923920,,http://d-nb.info/gnd/123587956,,
