name,label,viaf,lc,isni,bnf,dnb,wd,wikipedia
G. Richa,"Richa, Giuseppe",http://viaf.org/viaf/353342,http://id.loc.gov/authorities/names/no97059134,http://isni.org/isni/0000000062997732,,http://d-nb.info/gnd/1110972733,http://www.wikidata.org/entity/Q3771316,https://it.wikipedia.org/wiki/Giuseppe_Richa
G. Testori,"Testori, Giovanni",http://viaf.org/viaf/64048443,http://id.loc.gov/authorities/names/n79006460,http://isni.org/isni/000000012136467X,http://catalogue.bnf.fr/ark:/12148/cb121747526,http://d-nb.info/gnd/118801686,http://www.wikidata.org/entity/Q3768220,https://en.wikipedia.org/wiki/Giovanni_Testori
G. Térey,"Térey, Gábor",http://viaf.org/viaf/77088924,http://id.loc.gov/authorities/names/nr95018309,http://isni.org/isni/0000000110719877,http://catalogue.bnf.fr/ark:/12148/cb10488741z,http://d-nb.info/gnd/117273171,http://www.wikidata.org/entity/Q1326734,https://hu.wikipedia.org/wiki/T\u00e9rey_G\u00e1bor
G. Zucchini,"Zucchini, Guido",http://viaf.org/viaf/88736942,http://id.loc.gov/authorities/names/no99067985,http://isni.org/isni/000000006630418X,,,,
G.B. Cavalcaselle,"Cavalcaselle, Giovanni Battista, 1820-1897",http://viaf.org/viaf/38017204,http://id.loc.gov/authorities/names/n79121687,http://isni.org/isni/0000000083430022,http://catalogue.bnf.fr/ark:/12148/cb12102756n,http://d-nb.info/gnd/118870734,http://www.wikidata.org/entity/Q1372695,https://de.wikipedia.org/wiki/Giovanni_Battista_Cavalcaselle
G.B. Viroli,"Viroli, Giordano",http://viaf.org/viaf/41919205,http://id.loc.gov/authorities/names/n82140929,http://isni.org/isni/0000000116283242,FRBNF123722518,,,
G.F. Waagen,"Waagen, Gustav Friedrich, 1794-1868",http://viaf.org/viaf/62316937,http://id.loc.gov/authorities/names/n84057198,http://isni.org/isni/0000000107825740,http://catalogue.bnf.fr/ark:/12148/cb12000725q,http://d-nb.info/gnd/118628038,http://www.wikidata.org/entity/Q317971,https://da.wikipedia.org/wiki/Gustav_Friedrich_Waagen
G.I. Hoogewerff,"Hoogewerff, G.J. (Godefridus Johannes), 1884-1963",http://viaf.org/viaf/39632681,http://id.loc.gov/authorities/names/nr96018051,http://isni.org/isni/0000000061526461,http://catalogue.bnf.fr/ark:/12148/cb146320643,http://d-nb.info/gnd/121418979,http://www.wikidata.org/entity/Q19753889,
H. Filippi,H. Filippi,,,,,,,
H. Röttgen,"Röttgen, Herwarth",http://viaf.org/viaf/116389836,http://id.loc.gov/authorities/names/no88002923,http://isni.org/isni/000000010860312X,http://catalogue.bnf.fr/ark:/12148/cb135450474,http://d-nb.info/gnd/122887832,,
H. Voss,"Voss, Hermann",http://viaf.org/viaf/44473159,http://id.loc.gov/authorities/names/n2004021237,http://isni.org/isni/0000000108935079,http://catalogue.bnf.fr/ark:/12148/cb13611733z,http://d-nb.info/gnd/117450502,http://www.wikidata.org/entity/Q1612982,https://de.wikipedia.org/wiki/Hermann_Voss_(Kunsthistoriker)
H.D. Gronau,H.D. Gronau,,,,,,,
Hadeln,"Hadeln, Detlev &#x98;von&#x9C; 1878-1935",http://viaf.org/viaf/20703571,http://id.loc.gov/authorities/names/nr95033946,http://isni.org/isni/0000000108557872,,http://d-nb.info/gnd/116358033,,
I. Faldi,"Faldi, Italo",http://viaf.org/viaf/43051804,,http://isni.org/isni/0000000081219848,http://catalogue.bnf.fr/ark:/12148/cb123423123,,,
I. Patrizi,I. Patrizi,,,,,,,
J. Bentini,"Bentini, Jadranka",http://viaf.org/viaf/14782713,http://id.loc.gov/authorities/names/n80038294,http://isni.org/isni/0000000115605318,http://catalogue.bnf.fr/ark:/12148/cb120219477,http://d-nb.info/gnd/132223562,,
J. Lauts,"Lauts, Jan",http://viaf.org/viaf/71514521,http://id.loc.gov/authorities/names/n81082856,http://isni.org/isni/0000000121388751,http://catalogue.bnf.fr/ark:/12148/cb126819612,http://d-nb.info/gnd/121583104,http://www.wikidata.org/entity/Q18011168,https://de.wikipedia.org/wiki/Jan_Lauts
J. Pope Hennessy,"Pope-Hennessy, John",http://viaf.org/viaf/104835683,http://id.loc.gov/authorities/names/n50023189,http://isni.org/isni/0000000114541842,http://catalogue.bnf.fr/ark:/12148/cb12056961m,http://d-nb.info/gnd/118903624,http://www.wikidata.org/entity/Q537874,https://ca.wikipedia.org/wiki/John_Pope-Hennessy
J. Shearmann,"Shearman, John (John Kinder Gowran)",http://viaf.org/viaf/109287040,http://id.loc.gov/authorities/names/n50022132,http://isni.org/isni/0000000109328836,http://catalogue.bnf.fr/ark:/12148/cb122249072,http://d-nb.info/gnd/124135048,http://www.wikidata.org/entity/Q6257528,https://de.wikipedia.org/wiki/John_Shearman
J.A. Crow,"Crowe, Joseph Archer, 1825-1896",http://viaf.org/viaf/61780261,http://id.loc.gov/authorities/names/n79122341,http://isni.org/isni/0000000083441020,http://catalogue.bnf.fr/ark:/12148/cb14515290b,http://d-nb.info/gnd/116741708,http://www.wikidata.org/entity/Q725266,https://de.wikipedia.org/wiki/Joseph_Archer_Crowe
J.A. Crowe,"Crowe, Joseph Archer, 1825-1896",http://viaf.org/viaf/61780261,http://id.loc.gov/authorities/names/n79122341,http://isni.org/isni/0000000083441020,http://catalogue.bnf.fr/ark:/12148/cb14515290b,http://d-nb.info/gnd/116741708,http://www.wikidata.org/entity/Q725266,https://de.wikipedia.org/wiki/Joseph_Archer_Crowe
J.P. Richter,J.P. Richter,,,,,,,
K. Badt,"Badt, Kurt",http://viaf.org/viaf/57405839,http://id.loc.gov/authorities/names/n86844532,http://isni.org/isni/0000000109048738,http://catalogue.bnf.fr/ark:/12148/cb12287816q,http://d-nb.info/gnd/118505742,http://www.wikidata.org/entity/Q1629748,https://de.wikipedia.org/wiki/Kurt_Badt
K. Bauch,"Bauch, Kurt",http://viaf.org/viaf/113815327,http://id.loc.gov/authorities/names/no2006105375,http://isni.org/isni/0000000109373733,http://catalogue.bnf.fr/ark:/12148/cb127555515,http://d-nb.info/gnd/118653628,http://www.wikidata.org/entity/Q99474,https://cs.wikipedia.org/wiki/Kurt_Bauch
K. Steinbart,"Steinbart, Kurt",http://viaf.org/viaf/41678365,http://id.loc.gov/authorities/names/nr00018079,http://isni.org/isni/0000000115679368,,http://d-nb.info/gnd/1030271461,http://www.wikidata.org/entity/Q1549042,https://de.wikipedia.org/wiki/Kurt_Steinbart
L. Agus,"Agus, Luigi",http://viaf.org/viaf/63347151,http://id.loc.gov/authorities/names/n2001001056,http://isni.org/isni/0000000082500324,,http://d-nb.info/gnd/142549266,,
L. Baldass,"Baldass, Ludwig",http://viaf.org/viaf/71533305,http://id.loc.gov/authorities/names/n97070788,http://isni.org/isni/0000000109142898,http://catalogue.bnf.fr/ark:/12148/cb131879833,http://d-nb.info/gnd/104668512,http://www.wikidata.org/entity/Q6699390,https://en.wikipedia.org/wiki/Ludwig_von_Baldass
L. Burchard,"Burchard, Ludwig",http://viaf.org/viaf/97710126,http://id.loc.gov/authorities/names/n84092633,http://isni.org/isni/000000011078832X,http://catalogue.bnf.fr/ark:/12148/cb123437891,http://d-nb.info/gnd/117160849,http://www.wikidata.org/entity/Q1874264,https://de.wikipedia.org/wiki/Ludwig_Burchard
L. Mayer,"Mayer, August Liebmann, 1885-1944",http://viaf.org/viaf/102317582,http://id.loc.gov/authorities/names/nr88011775,http://isni.org/isni/0000000115794139,http://catalogue.bnf.fr/ark:/12148/cb10572156v,http://d-nb.info/gnd/117542563,http://www.wikidata.org/entity/Q762753,https://de.wikipedia.org/wiki/August_Liebmann_Mayer
L. Nikolenko,"Nikolenko, Lada",http://viaf.org/viaf/204320194,http://id.loc.gov/authorities/names/n83301484,http://isni.org/isni/0000000082547456,,http://d-nb.info/gnd/120259214,,
L. Venturi,"Venturi, Lionello",http://viaf.org/viaf/18634,http://id.loc.gov/authorities/names/n79115540,http://isni.org/isni/0000000108608094,http://catalogue.bnf.fr/ark:/12148/cb11927889r,http://d-nb.info/gnd/119463423,http://www.wikidata.org/entity/Q2527217,https://bg.wikipedia.org/wiki/\u041b\u0438\u043e\u043d\u0435\u043b\u043e_\u0412\u0435\u043d\u0442\u0443\u0440\u0438
M. Alberici da Barbiano,"Alberici da Barbiano, Mario",http://viaf.org/viaf/307348539,,,,,,
M. Boskovits,"Boskovits, Mikl&#xF3;s, 1935-2011.",http://viaf.org/viaf/59212654,http://id.loc.gov/authorities/names/n80081440,http://isni.org/isni/0000000118562595,http://catalogue.bnf.fr/ark:/12148/cb128607093,http://d-nb.info/gnd/14385402X,http://www.wikidata.org/entity/Q848216,https://eo.wikipedia.org/wiki/Mikl\u8d38s_Boskovits
M. Chiarini,"Chiarini, Marco",http://viaf.org/viaf/22140010,http://id.loc.gov/authorities/names/n84100389,http://isni.org/isni/0000000116055493,http://catalogue.bnf.fr/ark:/12148/cb11896681g,http://d-nb.info/gnd/129394912,,
M. Di Giampaolo,"Di Giampaolo, Marco",http://viaf.org/viaf/66515273,http://id.loc.gov/authorities/names/n88036364,http://isni.org/isni/0000000116618479,http://catalogue.bnf.fr/ark:/12148/cb12207222b,http://d-nb.info/gnd/139058397,,
M. Gabbrielli,"Gabbrielli, Mariarosa",http://viaf.org/viaf/47783837,,http://isni.org/isni/0000000117619107,,http://d-nb.info/gnd/127446761,,
M. Gasparini,M. Gasparini,,,,,,,
M. Gregori,"Gregori, Mina",http://viaf.org/viaf/71407964,http://id.loc.gov/authorities/names/n82250847,http://isni.org/isni/0000000066302328,http://catalogue.bnf.fr/ark:/12148/cb120385382,http://d-nb.info/gnd/119378361,http://www.wikidata.org/entity/Q3858268,https://fr.wikipedia.org/wiki/Mina_Gregori
M. Lucco,"Lucco, Mauro",http://viaf.org/viaf/61687707,http://id.loc.gov/authorities/names/n80091356,http://isni.org/isni/0000000116554364,http://catalogue.bnf.fr/ark:/12148/cb131865189,http://d-nb.info/gnd/131721100,,
M. Natale,"Natale, Mauro",http://viaf.org/viaf/59151288,http://id.loc.gov/authorities/names/n80101326,http://isni.org/isni/0000000061331496,http://catalogue.bnf.fr/ark:/12148/cb12312102m,http://d-nb.info/gnd/132590050,,
M. Pellicioli,"Pellicioli, Mauro",http://viaf.org/viaf/96579485,http://id.loc.gov/authorities/names/no2014168464,http://isni.org/isni/0000000424427578,,http://d-nb.info/gnd/121605809,http://www.wikidata.org/entity/Q3852895,https://it.wikipedia.org/wiki/Mauro_Pellicioli
M. Salmi,"Salmi, Mario",http://viaf.org/viaf/41961605,http://id.loc.gov/authorities/names/n80070785,http://isni.org/isni/0000000108917137,http://catalogue.bnf.fr/ark:/12148/cb12637276k,http://d-nb.info/gnd/119185393,http://www.wikidata.org/entity/Q3849075,https://en.wikipedia.org/wiki/Mario_Salmi
M. Schmitt,M. Schmitt,,,,,,,
M. Valsecchi,"Valsecchi, Marco",http://viaf.org/viaf/86415491,http://id.loc.gov/authorities/names/n50014288,http://isni.org/isni/000000011960948X,,http://d-nb.info/gnd/1011578875,,
M.H. Goldblatt,"Goldblatt, Maurice Henry",http://viaf.org/viaf/28788735,http://id.loc.gov/authorities/names/n96001785,,,http://d-nb.info/gnd/1016583370,,
M.W. Brockwell,"Brockwell, Maurice Walter",http://viaf.org/viaf/52961778,http://id.loc.gov/authorities/names/n79056508,http://isni.org/isni/0000000109724425,,http://d-nb.info/gnd/1055474315,,
Martin,"Martin, Kurt",http://viaf.org/viaf/108372070,http://id.loc.gov/authorities/names/n88633605,http://isni.org/isni/0000000110809450,http://catalogue.bnf.fr/ark:/12148/cb121860868,http://d-nb.info/gnd/116805188,http://www.wikidata.org/entity/Q1793847,https://de.wikipedia.org/wiki/Kurt_Martin_(Kunsthistoriker)
Mayer,"Mayer, August Liebmann, 1885-1944",http://viaf.org/viaf/102317582,http://id.loc.gov/authorities/names/nr88011775,http://isni.org/isni/0000000115794139,http://catalogue.bnf.fr/ark:/12148/cb10572156v,http://d-nb.info/gnd/117542563,http://www.wikidata.org/entity/Q762753,https://de.wikipedia.org/wiki/August_Liebmann_Mayer
Nathan,Nathan,,,,,,,
O. Sirén,"Sirén, Oslvald",http://viaf.org/viaf/33032778,http://id.loc.gov/authorities/names/n50025578,http://isni.org/isni/0000000121270550,http://catalogue.bnf.fr/ark:/12148/cb12373437k,http://d-nb.info/gnd/124281419,http://www.wikidata.org/entity/Q733791,https://da.wikipedia.org/wiki/Osvald_Sir\u00e9n
Ottino della Chiesa,"Ottino della Chiesa, Angela",http://viaf.org/viaf/95203596,http://id.loc.gov/authorities/names/n50049557,http://isni.org/isni/0000000114779631,http://catalogue.bnf.fr/ark:/12148/cb12111022c,http://d-nb.info/gnd/1067689052,,
P. Barocchi,"Barocchi, Paola",http://viaf.org/viaf/51703956,http://id.loc.gov/authorities/names/n82256449,http://isni.org/isni/0000000109002975,http://catalogue.bnf.fr/ark:/12148/cb12027118w,http://d-nb.info/gnd/1029017719,http://www.wikidata.org/entity/Q19754060,
P. Calvario,P. Calvario,,,,,,,
P. Cellini,"Cellini, Pico",http://viaf.org/viaf/79454146,http://id.loc.gov/authorities/names/n93075148,http://isni.org/isni/0000000078195654,,http://d-nb.info/gnd/121593606,,
P. Humfrey,"Humfrey, Peter",http://viaf.org/viaf/193599954,http://id.loc.gov/authorities/names/n82133910,http://isni.org/isni/000000011083121X,http://catalogue.bnf.fr/ark:/12148/cb122212914,http://d-nb.info/gnd/132078252,http://www.wikidata.org/entity/Q18720641,
P. Pouncey,"Pouncey, Philip",http://viaf.org/viaf/66523742,http://id.loc.gov/authorities/names/n83223465,http://isni.org/isni/0000000066315700,http://catalogue.bnf.fr/ark:/12148/cb12258499r,http://d-nb.info/gnd/119140349,http://www.wikidata.org/entity/Q18674350,
P. Rosenberg,"Rosenberg, Pierre",http://viaf.org/viaf/22148101,http://id.loc.gov/authorities/names/n79061307,http://isni.org/isni/0000000121235827,http://catalogue.bnf.fr/ark:/12148/cb11922607t,http://d-nb.info/gnd/120957884,http://www.wikidata.org/entity/Q966176,https://de.wikipedia.org/wiki/Pierre_Rosenberg
P. Rossi,"Rossi, Paola",http://viaf.org/viaf/15001292,http://id.loc.gov/authorities/names/n82086231,http://isni.org/isni/0000000077040474,http://catalogue.bnf.fr/ark:/12148/cb144922427,http://d-nb.info/gnd/133538400,,
P. Soresini,P. Soresini,,,,,,,
P. Toesca,"Toesca, Pietro",http://viaf.org/viaf/66570758,http://id.loc.gov/authorities/names/n83197996,http://isni.org/isni/0000000109108104,http://catalogue.bnf.fr/ark:/12148/cb12499960h,http://d-nb.info/gnd/119463407,http://www.wikidata.org/entity/Q253864,https://de.wikipedia.org/wiki/Pietro_Toesca
P. Torriti,"Torriti, Pietro",http://viaf.org/viaf/32046623,http://id.loc.gov/authorities/names/n79143030,http://isni.org/isni/0000000116156462,http://catalogue.bnf.fr/ark:/12148/cb12213572z,http://d-nb.info/gnd/129998214,,
Prezzolini,"Prezzolini, Pietro",http://viaf.org/viaf/1818751,http://id.loc.gov/authorities/names/n2001080069,http://isni.org/isni/0000000061302265,,,,
F. Tosini,F. Tosini,,,,,,,
R. Fry,"Fry, Roger Eliot",http://viaf.org/viaf/41884144,http://id.loc.gov/authorities/names/n79072847,http://isni.org/isni/0000000121297593,http://catalogue.bnf.fr/ark:/12148/cb121862635,http://d-nb.info/gnd/118703390,http://www.wikidata.org/entity/Q547470,https://ca.wikipedia.org/wiki/Roger_Eliot_Fry
R. Longhi,"Longhi, Roberto",http://viaf.org/viaf/39380437,http://id.loc.gov/authorities/names/n81032431,http://isni.org/isni/0000000121287723,http://catalogue.bnf.fr/ark:/12148/cb11913297j,http://d-nb.info/gnd/118780433,http://www.wikidata.org/entity/Q1361667,https://azb.wikipedia.org/wiki/\u0631\u0648\u0628\u0631\u062a\u0648_\u0644\u0627\u0646\u0642\u06cc
R. Offner,"Offner, Richard",http://viaf.org/viaf/2557281,http://id.loc.gov/authorities/names/n84183868,http://isni.org/isni/0000000080820180,http://catalogue.bnf.fr/ark:/12148/cb12401737n,http://d-nb.info/gnd/129608491,http://www.wikidata.org/entity/Q19754099,
R. Palluchini,"Pallucchini, Rodolfo",http://viaf.org/viaf/89753449,http://id.loc.gov/authorities/names/n79039944,http://isni.org/isni/0000000107855835,http://catalogue.bnf.fr/ark:/12148/cb12412991f,http://d-nb.info/gnd/121787001,http://www.wikidata.org/entity/Q3438258,https://fr.wikipedia.org/wiki/Rodolfo_Pallucchini
R. Pallucchini,"Pallucchini, Rodolfo",http://viaf.org/viaf/89753449,http://id.loc.gov/authorities/names/n79039944,http://isni.org/isni/0000000107855835,http://catalogue.bnf.fr/ark:/12148/cb12412991f,http://d-nb.info/gnd/121787001,http://www.wikidata.org/entity/Q3438258,https://fr.wikipedia.org/wiki/Rodolfo_Pallucchini
R. Salvini,"Salvini, Roberto, 1912-1985",http://viaf.org/viaf/2476707,http://id.loc.gov/authorities/names/n80028469,http://isni.org/isni/0000000117369486,http://catalogue.bnf.fr/ark:/12148/cb119235440,http://d-nb.info/gnd/119006596,http://www.wikidata.org/entity/Q15479566,https://it.wikipedia.org/wiki/Roberto_Salvini
R. Van Marle,"Marle, Raimond &#x98;van&#x9C; 1888-1936",http://viaf.org/viaf/69714804,http://id.loc.gov/authorities/names/nr94009298,http://isni.org/isni/0000000109131021,,http://d-nb.info/gnd/117722847,http://www.wikidata.org/entity/Q19630761,https://fr.wikipedia.org/wiki/Raimond_van_Marle
R.P. Ciardi,"Ciardi, Roberto Paolo.",http://viaf.org/viaf/22157513,http://id.loc.gov/authorities/names/n84092522,http://isni.org/isni/0000000118386608,http://catalogue.bnf.fr/ark:/12148/cb120318475,http://d-nb.info/gnd/132755637,http://www.wikidata.org/entity/Q3938691,https://it.wikipedia.org/wiki/Roberto_Ciardi
Royal Academy of Arts,Royal Academy of Arts,http://viaf.org/viaf/153543255,http://id.loc.gov/authorities/names/n80032672,http://isni.org/isni/0000000404244782,http://catalogue.bnf.fr/ark:/12148/cb11867072g,http://d-nb.info/gnd/1023738-0,http://www.wikidata.org/entity/Q270920,https://ar.wikipedia.org/wiki/\u0627\u0644\u0623\u0643\u0627\u062f\u064a\u0645\u064a\u0629_\u0627\u0644\u0645\u0644\u0643\u064a\u0629_\u0644\u0644\u0641\u0646\u0648\u0646
S. Bottari,"Bottari, Stefano",http://viaf.org/viaf/50414643,http://id.loc.gov/authorities/names/n85252478,http://isni.org/isni/0000000108999777,http://catalogue.bnf.fr/ark:/12148/cb12957899t,http://d-nb.info/gnd/133380807,http://www.wikidata.org/entity/Q3972398,https://it.wikipedia.org/wiki/Stefano_Bottari
S. Castellana,S. Castellana,,,,,,,
S. Colvin,"Colvin, Sidney",http://viaf.org/viaf/51813328,http://id.loc.gov/authorities/names/n50031911,http://isni.org/isni/0000000109009181,http://catalogue.bnf.fr/ark:/12148/cb126865390,http://d-nb.info/gnd/116645563,http://www.wikidata.org/entity/Q1620836,https://de.wikipedia.org/wiki/Sidney_Colvin
S. Regan McKillop,"McKillop, Susan Regan",http://viaf.org/viaf/276868328,http://id.loc.gov/authorities/names/no2009179804,http://isni.org/isni/000000038465488X,,,,
S.J. Freedberg,"Freedberg, Sydney Joseph, 1914-",http://viaf.org/viaf/76378542,http://id.loc.gov/authorities/names/n50025683,http://isni.org/isni/0000000109173184,http://catalogue.bnf.fr/ark:/12148/cb122810569,http://d-nb.info/gnd/129897671,http://www.wikidata.org/entity/Q958839,https://en.wikipedia.org/wiki/Sydney_Joseph_Freedberg
T. Borenius,"Borenius, Tancred, 1885-1948",http://viaf.org/viaf/24736108,http://id.loc.gov/authorities/names/nr95020005,http://isni.org/isni/0000000108800676,http://catalogue.bnf.fr/ark:/12148/cb130157703,http://d-nb.info/gnd/124281443,http://www.wikidata.org/entity/Q4350667,https://en.wikipedia.org/wiki/Tancred_Borenius
U. Gnoli,"Gnoli, Umberto",http://viaf.org/viaf/28606558,http://id.loc.gov/authorities/names/n87934821,http://isni.org/isni/0000000107790410,http://catalogue.bnf.fr/ark:/12148/cb12682671s,http://d-nb.info/gnd/141856211,http://www.wikidata.org/entity/Q19754125,
V. Mariani,"Mariani, Valerio",http://viaf.org/viaf/90280200,http://id.loc.gov/authorities/names/n87875577,http://isni.org/isni/0000000123212581,http://catalogue.bnf.fr/ark:/12148/cb11075874q,http://d-nb.info/gnd/114983434X,http://www.wikidata.org/entity/Q4007892,https://it.wikipedia.org/wiki/Valerio_Mariani
V. Viale,"Viale, Vittorio, 1891-1977",http://viaf.org/viaf/15930279,http://id.loc.gov/authorities/names/n87912575,http://isni.org/isni/0000000110217279,,http://d-nb.info/gnd/132404389,http://www.wikidata.org/entity/Q4015577,https://it.wikipedia.org/wiki/Vittorio_Viale
W. Bode,"Bode, Wilhelm &#x98;von&#x9C; 1845-1929",http://viaf.org/viaf/5059224,http://id.loc.gov/authorities/names/n50010050,http://isni.org/isni/0000000121187642,http://catalogue.bnf.fr/ark:/12148/cb12839490h,http://d-nb.info/gnd/119034921,http://www.wikidata.org/entity/Q64607,https://ar.wikipedia.org/wiki/\u0641\u0644\u0647\u0644\u0645_\u0641\u0648\u0646_\u0628\u0648\u062f\u0647
W. Heil,"Heil, Walter",http://viaf.org/viaf/22323861,http://id.loc.gov/authorities/names/nr99023973,http://isni.org/isni/0000000065343371,http://catalogue.bnf.fr/ark:/12148/cb137598633,http://d-nb.info/gnd/111213798X,,
W. Suida,"Suida, Wilhelm, 1877-1959",http://viaf.org/viaf/50058836,http://id.loc.gov/authorities/names/n88639402,http://isni.org/isni/0000000108998555,,http://d-nb.info/gnd/120508664,http://www.wikidata.org/entity/Q18224681,https://it.wikipedia.org/wiki/William_Suida
W. Valentiner,"Valentiner, Wilhelm Reinhold",http://viaf.org/viaf/62351190,http://id.loc.gov/authorities/names/n79132431,http://isni.org/isni/0000000110662524,http://catalogue.bnf.fr/ark:/12148/cb106566459,http://d-nb.info/gnd/119117223,http://www.wikidata.org/entity/Q8002333,https://de.wikipedia.org/wiki/Wilhelm_Reinhold_Valentiner
W. Vogelsang,"Vogelsang, Willem",http://viaf.org/viaf/92113734,http://id.loc.gov/authorities/names/n88633438,http://isni.org/isni/0000000109246857,http://catalogue.bnf.fr/ark:/12148/cb10458976j,http://d-nb.info/gnd/117465143,http://www.wikidata.org/entity/Q2195480,https://de.wikipedia.org/wiki/Willem_Vogelsang
E. Paatz,"Paatz, Elisabeth",http://viaf.org/viaf/74239556,,http://isni.org/isni/0000000118779794,,http://d-nb.info/gnd/116011327,http://www.wikidata.org/entity/Q22991137,
W.R. Rearick,"Rearick, William R.",http://viaf.org/viaf/41875090,http://id.loc.gov/authorities/names/n80105007,http://isni.org/isni/0000000083431447,http://catalogue.bnf.fr/ark:/12148/cb12134533j,http://d-nb.info/gnd/129774189,,
W. Vitzthum,"Vitzthum, Walter",http://viaf.org/viaf/11037955,http://id.loc.gov/authorities/names/n50013490,http://isni.org/isni/0000000110210915,http://catalogue.bnf.fr/ark:/12148/cb12702970s,http://d-nb.info/gnd/133529541,http://www.wikidata.org/entity/Q29578730,https://de.wikipedia.org/wiki/Walter_Vitzthum
W.R. Valentiner,"Valentiner, Wilhelm Reinhold",http://viaf.org/viaf/62351190,http://id.loc.gov/authorities/names/n79132431,http://isni.org/isni/0000000110662524,http://catalogue.bnf.fr/ark:/12148/cb106566459,http://d-nb.info/gnd/119117223,http://www.wikidata.org/entity/Q8002333,https://de.wikipedia.org/wiki/Wilhelm_Reinhold_Valentiner
Z. Bonacini,Z. Bonacini,,,,,,,
collezione Barberini,"Palazzo Barberini (Rome, Italy)",http://viaf.org/viaf/125476165,http://id.loc.gov/authorities/names/n79040144,,,http://d-nb.info/gnd/515838-2,,
collezione Benson,collezione Benson,,,,,,,
collezione Bonelli,collezione Bonelli,,,,,,,
collezione Chigi,collezione Chigi,,,,,,,
collezione Cook,collezione Cook,,,,,,,
collezione Cristina di Svezia,collezione Cristina di Svezia,,,,,,,
collezione D.F. Platt,collezione D.F. Platt,,,,,,,
collezione E. Volpi,collezione E. Volpi,,,,,,,
collezione Earl of Harrowly,collezione Earl of Harrowly,,,,,,,
collezione Earl of Strafford,collezione Earl of Strafford,,,,,,,
collezione Fondazione Cariplo,collezione Fondazione Cariplo,,,,,,,
collezione Marcenaro,collezione Marcenaro,,,,,,,
collezione H. Kisters,collezione H. Kisters,,,,,,,
collezione Hercolani,collezione Hercolani,,,,,,,
collezione Larderel,collezione Larderel,,,,,,,
collezione Lazzaroni,collezione Lazzaroni,,,,,,,
collezione Le Brun,collezione Le Brun,,,,,,,
collezione Leopoldo de' Medici,collezione Leopoldo de' Medici,,,,,,,
collezione Massarenti,collezione Massarenti,,,,,,,
collezione O. Lanz,collezione O. Lanz,,,,,,,
collezione Pignatelli,collezione Pignatelli,,,,,,,
collezione Rospigliosi,collezione Rospigliosi,,,,,,,
collezione Santini,collezione Santini,,,,,,,
collezione Scarpa,collezione Scarpa,,,,,,,
collezione Somzée,collezione Somzée,,,,,,,
collezione Spencer,collezione Spencer,,,,,,,
collezione W.P. Wilstach,collezione W.P. Wilstach,,,,,,,
collezione duca di Pembroke,collezione duca di Pembroke,,,,,,,
