zeriArtist,zeriArtwork,wdArtwork,avg,zeriLabel,wdLabel,include
https://w3id.org/zericatalog/person/81/agnolo-di-cosimo,http://purl.org/emmedi/mauth/zeri/artwork/38460,http://www.wikidata.org/entity/Q1328065,55,"Opera d'arte ""Agnolo di Cosimo , Ritratto di Eleonora di Toledo e Giovanni de' Medici"" ",Eleonora Toledo hag he mab,Y
https://w3id.org/zericatalog/person/81/agnolo-di-cosimo,http://purl.org/emmedi/mauth/zeri/artwork/38460,http://www.wikidata.org/entity/Q1328065,64,"Opera d'arte ""Agnolo di Cosimo , Ritratto di Eleonora di Toledo e Giovanni de' Medici"" ",Portrait d'Eleanor of Toledo et son fils Giovanni de' Medici,Y
https://w3id.org/zericatalog/person/81/agnolo-di-cosimo,http://purl.org/emmedi/mauth/zeri/artwork/38460,http://www.wikidata.org/entity/Q1328065,80,"Opera d'arte ""Agnolo di Cosimo , Ritratto di Eleonora di Toledo e Giovanni de' Medici"" ",Ritratto di Eleonora di Toledo col figlio Giovanni de' Medici,Y
https://w3id.org/zericatalog/person/81/agnolo-di-cosimo,http://purl.org/emmedi/mauth/zeri/artwork/38460,http://www.wikidata.org/entity/Q1328065,60,"Opera d'arte ""Agnolo di Cosimo , Ritratto di Eleonora di Toledo e Giovanni de' Medici"" ",Portret van Eleanor of Toledo en haar zoon Giovanni de' Medici,Y
https://w3id.org/zericatalog/person/81/agnolo-di-cosimo,http://purl.org/emmedi/mauth/zeri/artwork/38460,http://www.wikidata.org/entity/Q1328065,62,"Opera d'arte ""Agnolo di Cosimo , Ritratto di Eleonora di Toledo e Giovanni de' Medici"" ",Porträt der Eleonora von Toledo und ihres Sohnes Giovanni de' Medici,Y
https://w3id.org/zericatalog/person/9192/sanzio-raffaello,http://purl.org/emmedi/mauth/zeri/artwork/30506,http://www.wikidata.org/entity/Q249449,51,"Opera d'arte ""Sanzio Raffaello, Manifattura fiamminga sec. XVI , San Paolo in carcere"" ",Stanze di Raffaello,N
https://w3id.org/zericatalog/person/355/andrea-dagnolo,http://purl.org/emmedi/mauth/zeri/artwork/36646,http://www.wikidata.org/entity/Q1235695,52,"Titolo tradizionale ""Madonna del pozzo""",Madonna delle Arpie,N
https://w3id.org/zericatalog/person/3956/del-conte-jacopino,http://purl.org/emmedi/mauth/zeri/artwork/16760,http://www.wikidata.org/entity/Q18523050,68,"Opera d'arte ""Del Conte Jacopino , Ritratto di Bindo Altoviti"" ",Bindo Altoviti,Y
https://w3id.org/zericatalog/person/3956/del-conte-jacopino,http://purl.org/emmedi/mauth/zeri/artwork/16760,http://www.wikidata.org/entity/Q18523050,65,"Opera d'arte ""Del Conte Jacopino , Ritratto di Bindo Altoviti"" ",Portrait de Bindo Altoviti,Y
https://w3id.org/zericatalog/person/8457/previtali-andrea,http://purl.org/emmedi/mauth/zeri/artwork/41870,http://www.wikidata.org/entity/Q3944491,54,"Opera d'arte ""Previtali Andrea , Madonna con Bambino tra san Francesco e san Girolamo"" ",Sacra Famiglia con san Girolamo,N
